,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
0,Mbaye Diagne,27,KAS,FW,,1530,20,2,4,-,3.9,65.4,2.8,3,7.69,0.2,0.1,1.6,0.1,0.6,0.2,-,-,1.2,0.8,1.9,1,2.3,1.7,14.5,0.1,0.7,0.1
1,Edin Visca,29,IBFK,AM(LR),,3049,13,14,2,-,4.1,69.9,0.2,9,7.51,0.6,0.8,0.4,-,0.4,0.6,0.1,-,2.2,1.4,0.9,0.4,1.1,2.1,35,1.7,1.4,0.1
2,Anthony Nuatuzor Nwakaeme,30,TS,AM(L),,2221,10,10,1,-,2.3,78.9,1.3,5,7.46,1,0.6,1.4,0.1,0.8,0.9,0.2,-,2.2,2.2,0.2,0.2,2.6,2.1,36.3,0.4,1.6,0.1
3,José Sosa,34,TS,M(CLR),,2463,5,4,2,-,1.3,81,2.6,4,7.45,3,1.2,1,-,1.8,2.1,0.2,-,1.9,0.9,1.6,-,0.6,1.6,66.8,1,5.1,0.1
4,Trézéguet,24,KAS,AM(LR),,3058,9,9,2,-,4,75,0.6,5,7.44,1,0.9,1.2,-,0.3,0.8,-,-,2.3,3.3,1.9,0.4,2.5,3.1,34.9,1.6,1.4,-
5,Vedat Muriqi,25,RIZE,FW,,3026,17,8,3,-,2,65.9,5.1,4,7.4,0.7,0.3,1.8,-,0.9,0.5,0.3,-,1.4,0.6,2.3,1,1.8,2.3,27.7,-,0.5,0.1
6,Younès Belhanda,29,GS,M(CL),,1856,4,6,8,1,1.6,83.3,0.8,4,7.34,1.5,0.6,1.3,-,0.6,1.1,-,-,2.5,1.4,1.3,0.1,1.7,1.5,46.7,1.3,1.3,0.2
7,Robinho,35,SIV,AM(CLR),FW,1440,8,2,4,1,3.8,86.1,0.6,3,7.3,1,0.3,1.3,-,0.3,1.5,-,-,2.5,2.3,0.9,0.1,1.9,2.6,50,0.7,3.1,0.1
8,Adem Ljajic,27,BJK,AM(CLR),FW,2229,9,11,7,-,2.5,84.2,0.1,2,7.27,0.6,0.4,0.4,-,0.5,0.7,-,-,2.6,1.1,0.8,0.2,1.1,1.6,46.1,1.3,1.1,0.2
9,Dorukhan Tokoz,23,BJK,DMC,,1596,3,4,5,-,1.3,76.9,1.9,1,7.24,2.8,2,1.5,-,1.1,1,0.2,1,0.9,0.4,1.5,0.1,0.9,1.3,29.1,-,0.9,0.2
10,Alexandru Epureanu,32,IBFK,D(C),DMC,1980,2,-,6,-,0.7,90.7,3.1,1,7.19,1.2,1.3,1,0.6,4.5,0.3,0.5,-,0.4,-,0.5,-,0.2,0.1,65.4,-,3.4,-
11,Merih Demiral,21,ALN,D(C),,1411,1,-,4,1,0.6,77.3,3.1,1,7.19,1.9,2.3,1.5,1,5.7,0.3,0.8,-,0.1,0.3,1,-,-,0.7,37.7,-,2.2,-
12,Dario Melnjak,26,RIZE,D(L),,1388,4,2,-,-,1.3,72.9,1.8,3,7.19,1.6,1.3,0.9,0.3,3.2,0.9,0.4,1,0.8,0.6,0.7,0.1,0.3,0.7,33.6,0.7,1.8,-
13,Gökhan Gönül,34,BJK,D(R),,2390,3,2,3,-,0.9,72.9,2,3,7.15,2.2,1.8,0.7,0.2,3.3,0.8,0.2,-,1,0.6,0.9,-,0.4,1.4,36.3,0.7,1.3,-
14,Fernando,32,GS,DMC,,1857,2,4,9,-,0.6,87.3,2,2,7.13,1.6,1.4,0.8,-,1.5,1,0.4,-,1,0.4,0.6,0.1,0.5,0.7,55.1,-,3.5,0.1
15,Hugo Rodallega,34,TS,FW,,2690,15,2,4,-,3.9,75.3,2.3,5,7.12,0.3,0.2,1.8,-,0.8,0.2,-,-,0.8,0.6,1.2,0.3,0.8,1.4,22.5,0.1,0.5,0.1
16,Khalid Boutaïb,32,YMS,FW,,1237,4,3,4,-,2.2,71,4.4,1,7.12,1.6,0.5,1.9,0.1,1.4,1.1,0.1,-,1.1,0.7,1.5,0.3,2.6,3.3,23.3,0.1,0.6,-
17,Sofiane Feghouli,29,GS,M(CR),,2107,9,6,2,-,1.8,81.2,0.9,5,7.11,0.6,0.7,1,-,0.3,0.3,-,-,1.3,1,1.3,0.1,1.1,2,36.3,0.8,1.9,-
18,Douglas,28,SIV,D(R),M(R),2821,3,7,2,2,0.9,79.2,1.3,3,7.11,2.7,1.3,1.6,0.4,1,1.5,0.3,-,1.3,2.5,2.3,0.1,2.4,1.9,46.2,0.6,3.1,0.1
19,Gaël Clichy,33,IBFK,D(L),,2185,1,1,1,-,0.2,81.5,1.4,2,7.1,1.9,2.1,0.8,0.1,2.1,0.6,0.1,-,1,0.9,0.5,-,0.5,0.5,62,0.4,2.5,-
20,Tiago Pinto,31,ANK,D(L),,2249,1,-,8,-,0.3,71.5,1.2,2,7.09,2.3,3.3,1.2,0.3,3.5,0.8,0.4,-,0.7,1.3,1.2,-,0.7,1.6,32.3,0.3,2,-
